Unidad,Latitud,Longitud,sadisfecho
UMF 25 MINERAL MONTE,20.1491,-98.6751,80.47925799
UMF 25 OMETEPEC,16.6899,-98.4032,89.92789471
UMF 25 TEPIC,21.5011,-104.8988,86.09715708
UMF 26 ACAPULCO,16.8638,-99.8816,79.33546178
UMF 26 AGUJITA,27.9252,-101.2982,90.02929143
UMF 26 JALPA MENDEZ,18.1764,-93.0573,56.82994064
UMF 26 MONTERREY,25.6732,-100.3092,81.31926722
UMF 27 SAN JOSÉ DEL VALLE,.,.,89.65008142
UMF 27 TIJUANA,32.5393,-117.0625,79.44199526
UMF 28 DEL VALLE,19.3856,-99.1645,83.75099139
UMF 28 LORETO,22.2667,-101.9833,46.40418252
UMF 28 MEXICALI,32.639,-115.4266,87.1274384
UMF 28 VILLA LLERA,23.0068,-99.08,66.22231512
UMF 29 BARIO SOLEDAD,16.8013,-95.1115,67.64784162
UMF 29 CHIHUAHUA,25.5365,-103.4248,83.19748028
UMF 29 GOMEZ PALACIO,25.584,-103.5123,96.81046369
UMF 3 CD. VALLES,21.9581,-98.9925,84.84695556
UMF 3 GUADALAJARA,20.6744,-103.3208,86.23243123
UMF 3 GUADALUPE,22.7445,-102.5127,64.47261803
UMF 3 JIUTEPEC,18.8381,-98.9431,78.80128063
UMF 3 PABELLON ARTEAGA,24.7958,-107.3659,95.1823019
UMF 3 SAN FELIPE,.,.,81.13947508
UMF 3 TACOTALPA,17.597,-92.8266,93.31191392
UMF 30 TEHUACAN,18.4556,-97.4118,72.15215508
UMF 31 IXTAPALAPA,19.3558,-99.1029,56.24125008
UMF 32 CUERAMARO,20.6274,-101.6815,56.25128836
UMF 32 V.GUADALUPE,25.6841,-100.251,85.09331185
UMF 33 CD. REYNOSA,26.0791,-98.3086,81.04289232
UMF 33 PEDRO POCHUTLA,15.7489,-96.4673,75.5990217
UMF 33 ROSARIO,19.5102,-99.2103,57.57697833
UMF 33 TIJUANA,32.5359,-117.0178,79.23746781
UMF 34 C.PANTITLAN,19.4117,-99.074,76.38515202
UMF 34 GUADALAJARA,20.6413,-103.3742,86.07517097
UMF 34 JUAN DIAZ,18.162,-95.191,90.48884885
UMF 34 LA PAZ C/UMAA,.,.,85.59367115
UMF 34 TULANCINGO,.,.,79.35924964
UMF 35 CULIACAN,24.7966,-107.3883,79.02049195
UMF 35 GUERRERO NEGRO,26.8917,-111.9808,95.07333409
UMF 35 MONTERREY,25.6732,-100.3092,77.52001744
UMF 37 CALPULALPAN,19.5865,-98.5764,82.40802831
UMF 37 HERMOSILLO,29.0757,-110.9573,89.17282679
UMF 37 LOS MOCHIS,25.7944,-108.9867,90.58230435
UMF 37 MONTERREY,25.6994,-100.3414,81.46688974
UMF 37 PALMAR,32.6245,-115.4523,94.82378841
UMF 37 TAMAZUNCHALE,21.2556,-98.7832,96.230199
UMF 38 GUERRERO,19.8478,-90.5197,89.00464094
UMF 38 TAMPICO,22.2945,-97.8534,81.21333129
UMF 39 C/UMAA/REHAB,.,.,75.19756172
UMF 39 MONTERREY,25.7404,-100.3809,67.00578886
UMF 39 TABASCO,21.8648,-102.9133,87.35389078
UMF 39 TECATE,32.5724,-116.6434,90.64342438
UMF 39 VILLAHERMOSA,.,.,74.00367612
UMF 4 AVALOS,.,.,55.8188858
UMF 4 DOCTORES,19.4192,-99.1504,79.94689269
UMF 4 GUADALUPE,22.7445,-102.5127,84.28136718
UMF 40 AZCAPOTZALCO,19.4951,-99.181,80.13216762
UMF 40 C. REFORMA,17.8477,-93.1618,63.24989799
UMF 40 MANLIO F.,19.0941,-96.3326,80.33637637
UMF 40 VILLAGRAN,20.5146,-100.9977,85.4391052
UMF 40 VILLAS DEL REY,.,.,93.29203039
UMF 41 FORTUNA,19.4914,-99.1709,68.82177891
UMF 41 MAL PASO,17.136,-93.3107,71.05637561
UMF 42 TEPEACA,18.9656,-97.9042,76.38826826
UMF 43 ALTOTONGA,20.1879,-96.87,66.61345709
UMF 43 ESCOBEDO,25.7866,-100.3325,71.50549787
UMF 43 GOMEZ PALACIO,.,.,85.57806574
UMF 43 VILLAHERMOSA,17.9759,-92.9351,87.07301976
UMF 44 DURANGO,24.0342,-104.6459,90.1237505
UMF 45 CARDENAS,17.9911,-93.379,82.57234456
UMF 45 PALENQUE,-34.7391,-58.2827,79.29648718
UMF 45 SAN LUIS POTOSI,22.1398,-101.005,82.66023094
UMF 46 CD.JUAREZ,.,.,95.60529331
UMF 46 SORIANO,19.3241,-99.1384,73.09785646
UMF 47 CD.JUAREZ,.,.,81.96467493
UMF 47 LEON,21.1366,-101.663,85.92114441
UMF 47 SAN LUIS POTOSI,22.1535,-100.9656,75.10813398
UMF 47 VILLAHERMOSA,.,.,85.56678348
UMF 48 CD.JUAREZ,.,.,77.32919957
UMF 48 GUADALAJARA,20.6896,-103.302,82.62105405
UMF 48 TLAXCO,19.6141,-98.1311,91.43182143
UMF 49 CELAYA,20.5183,-100.8205,74.15020392
UMF 49 DURANGO,24.0277,-104.6532,89.55580665
UMF 49 EL ARBOLILLO,19.5206,-99.1658,62.24210809
UMF 5 C.ANAHUAC,19.5069,-99.0849,72.44406082
UMF 5 MONTERREY,25.6659,-100.2999,84.22721334
UMF 5 PUCTE RIO HONDO,.,.,78.02086175
UMF 5 SOLEDAD GRACIANO,.,.,85.84323996
UMF 5 STO. DOMINGO,.,.,88.71681663
UMF 5 TOPOLOBAMPO,25.9119,-109.1735,100
UMF 5 XICOTENCATL,22.9978,-98.9433,88.07249768
UMF 50 CUATOTOLAPAN,.,.,96.41544214
UMF 50 DURANGO,24.0054,-104.6394,86.19701083
UMF 51 ACAYUCAN,17.9484,-94.9158,87.00934854
UMF 51 LEON,21.1659,-101.6774,88.28692987
UMF 52 CUAUTITLAN I.,.,.,78.04735495
UMF 52 MERIDA,.,.,88.60491856
UMF 53 GOMEZ P C/UMAA,.,.,93.59343661
UMF 53 INF. BARRAN,24.8049,-107.3855,100
UMF 54 TLAQUEPAQUE,18.1509,-94.4229,74.02120317
UMF 55 CULIACAN C/UMAA,.,.,94.62213702
UMF 55 FRESNILLO,23.1709,-102.8622,89.20695303
UMF 55 GUADALAJARA,20.667,-103.365,84.64740736
UMF 55 PUEBLA,19.0446,-98.1471,82.17898193
UMF 56 LAS MANDARINAS,21.1084,-101.7152,78.4360388
UMF 57 COLON,20.7887,-100.0496,86.27101333
UMF 57 JALTIPAN,17.9604,-94.7063,82.1578964
UMF 57 LA CEIBA,.,.,74.08079416
UMF 57 LA MARGARITA,19.0047,-98.2304,60.54247855
UMF 57 VERACRUZ,19.2135,-96.1752,73.65379108
UMF 58 CHIHUAHUA,.,.,95.4030486
UMF 58 HUATUSCO,19.1477,-96.9578,65.13162863
UMF 58 LAS MARGARITAS,19.5085,-99.2603,62.80074134
UMF 58 MERIDA,.,.,83.56126409
UMF 58 S.PEDRO GARZA,25.6744,-100.4291,76.13614286
UMF 59 MERIDA,.,.,86.83322992
UMF 6 IXHUATLANCILLO,18.8922,-97.1476,89.05169859
UMF 6 JESUS MARIA,21.8974,-102.3156,86.42848403
UMF 6 JIQUILPAN,19.4102,-103.3962,75.95368596
UMF 6 JUCHITAN,16.4333,-95.0167,78.39304895
UMF 6 PANZACOLA,19.1513,-98.2154,75.42164784
UMF 6 RIO GRANDE,23.8309,-103.0359,80.56179316
UMF 6 SAN JOSE DEL CABO,23.0621,-109.6957,88.58587051
UMF 60 COATZACOALCOS,18.1336,-94.4681,86.96848162
UMF 60 NAVA,28.4212,-100.7639,71.61993421
UMF 60 PONIENTE,.,.,76.18861527
UMF 61 CORDOBA,18.8936,-96.9297,82.96808168
UMF 61 NAUCALPAN,18.9516,-99.497,74.52524873
UMF 61 NAVOJOA,27.0829,-109.4428,88.11729023
UMF 61 VERACRUZ,19.1708,-96.1338,75.25937348
UMF 62 CUAUTITLAN,19.2829,-99.1401,69.10116147
UMF 63 HERMOSILLO,29.1189,-110.9773,85.45040614
UMF 64 CD. JUAREZ,.,.,94.78367468
UMF 64 STA. CATARINA,25.6763,-100.474,80.99211544
UMF 64 TUXTEPEC,.,.,90.6618307
UMF 65 HERMOSILLO,29.1099,-110.9998,89.86840161
UMF 65 STA LUCIA DEL CAMI,17.0508,-96.6913,89.01316676
UMF 66 TORREON,25.5585,-103.4198,81.74885012
UMF 67 CD.VICTORIA C/REHA,.,.,82.43659691
UMF 68 VERACRUZ,18.1527,-94.4034,82.1898305
UMF 68 VISTA HERMOSA,25.5402,-103.4396,83.44133939
UMF 69 ETZATLAN,20.7626,-104.08,100
UMF 7 CALZ. TLALPAN,19.2793,-99.1673,57.16108602
UMF 7 NUEVO IDEAL,24.8875,-105.0728,86.24239734
UMF 7 S.JUAN DEL RIO,22.1438,-101.0105,73.22421293
UMF 7 S.PEDRO G. C/UMAA,.,.,89.34570827
UMF 7 SANTA INES,19.4165,-98.1514,86.14113845
UMF 7 SOMBRERETE,23.6333,-103.6333,81.71907264
UMF 70 SALTILLO,25.4251,-100.9845,75.98322274
UMF 73 SALTILLO,25.4168,-101.0085,85.67057448
UMF 75 MORELIA C/UMAA,.,.,92.46531171
UMF 76 NVO LARED C/UMAA,.,.,81.41686496
UMF 76 URUAPAN,.,.,88.87157189
UMF 77 CD. MADERO,32.6392,-115.4671,73.39248397
UMF 77 LA PIEDAD,.,.,94.75849176
UMF 78 GUADALAJARA,20.6535,-103.2998,82.15629097
UMF 78 LAZARO CARDENAS,17.9931,-102.2202,87.91871138
UMF 78 NETZAHUALCOYOTL,.,.,80.72242813
UMF 78 NUEVO LAREDO,27.4929,-99.5044,92.41003278
UMF 79 GUADALAJARA,20.697,-103.34,86.95787959
UMF 79 MATAMOROS,25.8814,-97.5084,88.18500897
UMF 79 PIEDRAS NEGRAS,.,.,85.19742221
UMF 8 AGUASCALIENTES,21.8979,-102.2719,91.44478129
UMF 8 SANTA ROSALIA,26.8917,-111.9808,70.76600929
UMF 8 VILLA AYALA,25.7981,-100.312,85.17369606
UMF 80 MORELIA,19.7023,-101.1926,89.96776985
UMF 82 ZAMORA,41.5073,-5.7453,92.02516827
UMF 84 CHIMALHUACAN,19.4114,-98.9353,80.88634078
UMF 88 STA.ANITA,19.5536,-99.2677,84.9523737
UMF 9 ACAPULCO,16.8586,-99.8971,89.53408464
UMF 9 AGUASCALLIENTES,21.8451,-102.297,83.82090528
UMF 9 DEL TINTERO,20.5888,-100.3899,79.15716332
UMF 9 SALINAS VICTORIA,25.9635,-100.2855,82.14027172
UMF 9 VILLA FRONTERA,26.9175,-101.4692,76.62025576
UMF 91 VILLA FLORES,.,.,77.78913496
UMF 92 CD.AZTECA,.,.,77.26362975
UMF 92 MIRAVALLE,20.5923,-103.3487,65.86032406
UMF 93 CERRO GORDO,13.7225,-89.2091,78.38410995
UMF 95 PANTACO,.,.,89.95447411
UMF18 TIJUANA,.,.,81.35871966
UMF68 c/UMAA,.,.,81.0329619
UMF73 POZA RICA,.,.,84.24440034
UMF74 COATZINTLA,.,.,96.81281171
UMFH 11 RASCON,21.8797,-99.5038,92.51439486
UMFH 11 VILLA JUAREZ,43.1365,0.9745,81.64542879
UMFH 13 GRAL. TERAN,25.2508,-99.6769,87.07188745
UMFH 13 SAN QUINTIN,31.814,-116.6019,86.38815846
UMFH 13 TLAHUALLILO,36.8214,-2.8714,72.85814636
UMFH 15 JUAN JOSE RIOS,.,.,90.63821003
UMFH 18 ZAPOTILTIC,19.6291,-103.4163,95.57363232
UMFH 19 CD. HIDALGO,19.9547,-102.3062,86.62257284
UMFH 19 HUNUCMA,.,.,91.46059806
UMFH 2 CHAMPOTON,19.3592,-90.7194,73.58166909
UMFH 2 PROGRESO,21.2812,-89.6652,75.86455391
UMFH 20 PATZCUARO,19.5298,-101.6102,91.21371722
UMFH 21 C.CAMARGO,19.2373,-103.7222,78.34658043
UMFH 24 C.JIMENEZ,19.241,-103.6972,77.59110202
UMFH 24 IZUCAR MATAMOR,.,.,90.937588
UMFH 28 CALIPAN,18.2643,-97.1523,66.5498454
UMFH 3 C.MORELOS,.,.,71.52686178
UMFH 31 EL ROSARIO,22.9869,-105.8529,96.49680578
UMFH 4 TEQUISQUIAPAN,20.5212,-99.8862,82.86921012
UMFH 5 EL SALTO,20.5187,-103.178,79.86837178
UMFH 6 CORTAZAR,20.4867,-100.9659,96.77491819
UMFH 64 PURUANDIRO,19.6737,-101.2009,88.68004661
UMFH 9 PENJAMO,20.4314,-101.7221,67.59707611
