Unidad,Latitude,Longitud,imssadis,unidadsadis,pmejoro,pigual,pempeoro,Mujer,Hombre,edad
UMF 22 ABASOLO,20.4500,-101.5170, 63.7 , 59.2 , 51.8 , 26.4 , 21.9 , 56.4 , 43.6 , 38.8 
UMF 22 TEZIUTLAN,.,., 88.4 , 84.8 , 69.5 , 14.9 , 15.6 , 62.3 , 37.7 , 47.3 
UMF 220 TOLUCA,19.2861,-99.5698, 74.9 , 74.7 , 57.8 , 28.1 , 14.0 , 76.6 , 23.4 , 46.9 
UMF 222 TOLUCA,19.2883,-99.6472, 71.9 , 69.3 , 56.7 , 30.4 , 12.9 , 71.9 , 28.1 , 49.1 
UMF 223 LERMA,19.8061,-90.6011, 73.2 , 76.7 , 49.4 , 37.8 , 12.9 , 67.4 , 32.6 , 48.9 
UMF 224 ZINACATEPEC,19.4749,-97.6857, 73.5 , 72.7 , 61.4 , 28.0 , 10.6 , 71.6 , 28.4 , 47.2 
UMF 23 S. RAFAEL,.,., 93.6 , 86.2 , 74.5 , 22.1 , 3.4 , 76.3 , 23.7 , 51.5 
UMF 23 TUXTLA GUTIERREZ,16.7686,-93.0998, 75.6 , 76.3 , 42.8 , 39.5 , 17.8 , 60.9 , 39.1 , 46.3 
UMF 235 ATLACOMULCO,19.1958,-100.1343, 61.9 , 61.9 , 32.7 , 60.1 , 7.2 , 34.2 , 65.8 , 47.1 
UMF 24 MANTE,.,., 87.7 , 85.8 , 48.1 , 39.9 , 12.0 , 73.6 , 26.4 , 49.5 
UMF 24 SANTA ANA,20.6199,-100.4255, 71.3 , 74.3 , 48.1 , 25.2 , 26.6 , 60.0 , 40.0 , 52.3 
UMF 24 TEPIC,21.4906,-104.8823, 82.1 , 87.4 , 58.9 , 33.2 , 8.0 , 69.0 , 31.0 , 48.2 
UMF 248 SN MATEO ATENCO,19.5904,-98.8959, 65.5 , 74.9 , 65.3 , 28.6 , 6.1 , 77.9 , 22.1 , 41.3 
UMF 249 SANTIAGO TLAXOMUL,.,., 74.3 , 66.7 , 65.4 , 15.4 , 19.2 , 64.0 , 36.0 , 44.5 
UMF 25 E. GONZALEZ,26.0613,-98.3000, 73.3 , 73.1 , 50.8 , 43.0 , 6.2 , 49.4 , 50.6 , 48.1 
UMF 25 MINERAL MONTE,20.1491,-98.6751, 73.4 , 80.5 , 50.5 , 25.1 , 24.4 , 65.4 , 34.6 , 52.2 
UMF 25 OMETEPEC,16.6899,-98.4032, 92.0 , 89.9 , 77.2 , 16.0 , 6.8 , 60.0 , 40.0 , 38.3 
UMF 25 TEPIC,21.5011,-104.8988, 85.8 , 86.1 , 62.4 , 28.8 , 8.8 , 71.3 , 28.7 , 51.7 
UMF 26 ACAPULCO,16.8638,-99.8816, 78.8 , 79.3 , 68.3 , 19.4 , 12.3 , 66.9 , 33.1 , 46.6 
UMF 26 AGUJITA,27.9252,-101.2982, 82.8 , 90.0 , 75.1 , 21.9 , 3.0 , 57.0 , 43.0 , 49.9 
UMF 26 JALPA MENDEZ,18.1764,-93.0573, 54.0 , 56.8 , 40.6 , 47.1 , 12.3 , 59.5 , 40.5 , 40.5 
UMF 26 MONTERREY,25.6732,-100.3092, 80.5 , 81.3 , 58.8 , 33.9 , 7.3 , 64.7 , 35.3 , 52.9 
UMF 27 SAN JOSÉ DEL VALLE,.,., 82.5 , 89.7 , 45.4 , 46.9 , 7.7 , 68.7 , 31.3 , 45.4 
UMF 27 TIJUANA,32.5393,-117.0625, 82.1 , 79.4 , 66.4 , 23.4 , 10.2 , 67.2 , 32.8 , 42.5 
UMF 28 DEL VALLE,19.3856,-99.1645, 77.9 , 83.8 , 64.8 , 27.6 , 7.6 , 72.5 , 27.5 , 59.3 
UMF 28 LORETO,22.2667,-101.9833, 62.9 , 46.4 , 21.4 , 50.7 , 27.8 , 69.0 , 31.0 , 38.9 
UMF 28 MEXICALI,32.6390,-115.4266, 84.4 , 87.1 , 59.2 , 32.1 , 8.8 , 55.1 , 44.9 , 55.0 
UMF 28 VILLA LLERA,23.0068,-99.0800, 67.6 , 66.2 , 36.2 , 56.9 , 6.9 , 58.6 , 41.4 , 43.2 
UMF 29 BARIO SOLEDAD,16.8013,-95.1115, 70.7 , 67.6 , 53.2 , 37.4 , 9.4 , 76.7 , 23.3 , 45.4 
UMF 29 CHIHUAHUA,25.5365,-103.4248, 72.0 , 83.2 , 53.7 , 22.3 , 24.0 , 69.6 , 30.4 , 53.6 
UMF 29 GOMEZ PALACIO,25.5840,-103.5123, 96.8 , 96.8 , 82.6 , 17.4 , -   , 61.1 , 38.9 , 56.7 
UMF 3 CD. VALLES,21.9581,-98.9925, 79.3 , 84.8 , 66.5 , 27.3 , 6.2 , 69.5 , 30.5 , 50.1 
UMF 3 GUADALAJARA,20.6744,-103.3208, 67.0 , 86.2 , 73.2 , 14.5 , 12.4 , 60.7 , 39.3 , 51.7 
UMF 3 GUADALUPE,22.7445,-102.5127, 59.8 , 64.5 , 29.6 , 39.3 , 31.1 , 69.6 , 30.4 , 45.0 
UMF 3 JIUTEPEC,18.8381,-98.9431, 78.4 , 78.8 , 52.2 , 34.7 , 13.0 , 57.3 , 42.7 , 50.5 
UMF 3 PABELLON ARTEAGA,24.7958,-107.3659, 97.1 , 95.2 , 91.1 , 7.0 , 1.9 , 70.8 , 29.2 , 40.9 
UMF 3 SAN FELIPE,.,., 68.7 , 81.1 , 68.7 , 14.8 , 16.5 , 68.0 , 32.0 , 48.2 
UMF 3 TACOTALPA,17.5970,-92.8266, 96.2 , 93.3 , 48.2 , 47.5 , 4.2 , 53.5 , 46.5 , 47.0 
UMF 30 TEHUACAN,18.4556,-97.4118, 72.2 , 72.2 , 55.0 , 4.3 , 40.6 , 79.3 , 20.7 , 45.2 
UMF 31 IXTAPALAPA,19.3558,-99.1029, 55.4 , 56.2 , 54.8 , 34.1 , 11.1 , 56.3 , 43.7 , 48.3 
UMF 32 CUERAMARO,20.6274,-101.6815, 68.1 , 56.3 , 26.0 , 30.5 , 43.5 , 63.0 , 37.0 , 44.2 
UMF 32 V.GUADALUPE,25.6841,-100.2510, 83.6 , 85.1 , 59.2 , 26.4 , 14.3 , 44.7 , 55.3 , 47.4 
UMF 33 CD. REYNOSA,26.0791,-98.3086, 81.3 , 81.0 , 53.3 , 40.3 , 6.4 , 65.1 , 34.9 , 47.7 
UMF 33 PEDRO POCHUTLA,15.7489,-96.4673, 72.3 , 75.6 , 62.8 , 33.3 , 4.0 , 62.2 , 37.8 , 41.6 
UMF 33 ROSARIO,19.5102,-99.2103, 56.4 , 57.6 , 43.1 , 39.3 , 17.6 , 67.6 , 32.4 , 53.1 
UMF 33 TIJUANA,32.5359,-117.0178, 81.6 , 79.2 , 52.8 , 32.8 , 14.5 , 72.8 , 27.2 , 47.6 
UMF 34 C.PANTITLAN,19.4117,-99.0740, 77.5 , 76.4 , 71.8 , 20.7 , 7.5 , 70.6 , 29.4 , 45.3 
UMF 34 GUADALAJARA,20.6413,-103.3742, 82.4 , 86.1 , 76.8 , 14.5 , 8.7 , 52.3 , 47.7 , 44.8 
UMF 34 JUAN DIAZ,18.1620,-95.1910, 76.2 , 90.5 , 58.0 , 35.1 , 7.0 , 69.4 , 30.6 , 54.1 
UMF 34 LA PAZ C/UMAA,.,., 83.3 , 85.6 , 45.6 , 51.1 , 3.3 , 67.2 , 32.8 , 50.1 
UMF 34 TULANCINGO,.,., 73.2 , 79.4 , 53.7 , 25.5 , 20.8 , 70.0 , 30.0 , 50.7 
UMF 35 CULIACAN,24.7966,-107.3883, 84.0 , 79.0 , 72.2 , 20.8 , 7.0 , 69.8 , 30.2 , 52.8 
UMF 35 GUERRERO NEGRO,26.8917,-111.9808, 97.6 , 95.1 , 65.4 , 34.6 , -   , 57.3 , 42.7 , 50.4 
UMF 35 MONTERREY,25.6732,-100.3092, 80.5 , 77.5 , 55.6 , 27.8 , 16.6 , 51.8 , 48.2 , 55.7 
UMF 37 CALPULALPAN,19.5865,-98.5764, 75.4 , 82.4 , 59.9 , 16.7 , 23.4 , 68.0 , 32.0 , 50.8 
UMF 37 HERMOSILLO,29.0757,-110.9573, 82.9 , 89.2 , 75.4 , 24.6 , -   , 58.5 , 41.5 , 56.6 
UMF 37 LOS MOCHIS,25.7944,-108.9867, 85.1 , 90.6 , 71.4 , 22.2 , 6.4 , 81.6 , 18.4 , 54.8 
UMF 37 MONTERREY,25.6994,-100.3414, 81.5 , 81.5 , 69.2 , 23.0 , 7.8 , 48.7 , 51.3 , 56.1 
UMF 37 PALMAR,32.6245,-115.4523, 91.9 , 94.8 , 75.7 , 20.8 , 3.5 , 66.3 , 33.7 , 46.7 
UMF 37 TAMAZUNCHALE,21.2556,-98.7832, 96.2 , 96.2 , 87.3 , 8.6 , 4.1 , 59.4 , 40.6 , 40.7 
UMF 38 GUERRERO,19.8478,-90.5197, 82.5 , 89.0 , 61.4 , 35.2 , 3.5 , 56.1 , 43.9 , 48.9 
UMF 38 TAMPICO,22.2945,-97.8534, 81.2 , 81.2 , 66.7 , 22.3 , 11.0 , 52.0 , 48.0 , 51.2 
UMF 39 C/UMAA/REHAB,.,., 72.8 , 75.2 , 74.2 , 14.1 , 11.7 , 72.2 , 27.8 , 43.2 
UMF 39 MONTERREY,25.7404,-100.3809, 76.6 , 67.0 , 41.8 , 54.9 , 3.3 , 78.6 , 21.4 , 42.0 
UMF 39 TABASCO,21.8648,-102.9133, 90.4 , 87.4 , 61.8 , 38.2 , -   , 68.8 , 31.2 , 52.5 
UMF 39 TECATE,32.5724,-116.6434, 86.8 , 90.6 , 67.8 , 28.2 , 4.0 , 71.5 , 28.5 , 44.6 
UMF 39 VILLAHERMOSA,.,., 72.9 , 74.0 , 56.4 , 25.2 , 18.4 , 71.8 , 28.2 , 41.6 
UMF 4 AVALOS,.,., 80.2 , 55.8 , 46.6 , 43.0 , 10.3 , 65.4 , 34.6 , 43.2 
UMF 4 DOCTORES,19.4192,-99.1504, 74.8 , 79.9 , 36.8 , 57.8 , 5.4 , 68.6 , 31.4 , 55.3 
UMF 4 GUADALUPE,22.7445,-102.5127, 83.2 , 84.3 , 55.8 , 24.2 , 19.9 , 63.2 , 36.8 , 45.6 
UMF 40 AZCAPOTZALCO,19.4951,-99.1810, 80.1 , 80.1 , 60.7 , 28.1 , 11.2 , 70.4 , 29.6 , 49.5 
UMF 40 C. REFORMA,17.8477,-93.1618, 59.6 , 63.2 , 36.4 , 29.9 , 33.7 , 50.2 , 49.8 , 39.2 
UMF 40 MANLIO F.,19.0941,-96.3326, 70.5 , 80.3 , 53.3 , 32.5 , 14.2 , 72.6 , 27.4 , 46.8 
UMF 40 VILLAGRAN,20.5146,-100.9977, 82.6 , 85.4 , 70.5 , 15.9 , 13.5 , 72.7 , 27.3 , 44.2 
UMF 40 VILLAS DEL REY,.,., 93.3 , 93.3 , 70.0 , 23.2 , 6.8 , 58.8 , 41.2 , 46.8 
UMF 41 FORTUNA,19.4914,-99.1709, 65.5 , 68.8 , 59.2 , 30.4 , 10.4 , 68.8 , 31.2 , 49.3 
UMF 41 MAL PASO,17.1360,-93.3107, 70.9 , 71.1 , 63.3 , 18.3 , 18.4 , 28.5 , 71.5 , 52.5 
UMF 42 TEPEACA,18.9656,-97.9042, 72.3 , 76.4 , 72.2 , 23.2 , 4.6 , 67.5 , 32.5 , 47.6 
UMF 43 ALTOTONGA,20.1879,-96.8700, 65.0 , 66.6 , 53.0 , 21.3 , 25.7 , 60.9 , 39.1 , 42.8 
UMF 43 ESCOBEDO,25.7866,-100.3325, 75.4 , 71.5 , 35.5 , 47.9 , 16.5 , 68.6 , 31.4 , 43.8 
UMF 43 GOMEZ PALACIO,.,., 85.8 , 85.6 , 52.8 , 45.4 , 1.8 , 76.3 , 23.7 , 44.2 
UMF 43 VILLAHERMOSA,17.9759,-92.9351, 87.9 , 87.1 , 65.9 , 27.6 , 6.5 , 60.6 , 39.4 , 47.3 
UMF 44 DURANGO,24.0342,-104.6459, 87.6 , 90.1 , 55.9 , 40.5 , 3.6 , 68.0 , 32.0 , 47.5 
UMF 45 CARDENAS,17.9911,-93.3790, 82.7 , 82.6 , 68.6 , 26.0 , 5.3 , 71.6 , 28.4 , 47.9 
UMF 45 PALENQUE,-34.7391,-58.2827, 79.3 , 79.3 , 59.7 , 29.9 , 10.4 , 67.1 , 32.9 , 37.8 
UMF 45 SAN LUIS POTOSI,22.1398,-101.0050, 87.1 , 82.7 , 54.9 , 37.6 , 7.5 , 67.6 , 32.4 , 50.2 
UMF 46 CD.JUAREZ,.,., 93.6 , 95.6 , 90.5 , 9.5 , -   , 73.2 , 26.8 , 48.1 
UMF 46 SORIANO,19.3241,-99.1384, 64.3 , 73.1 , 39.6 , 32.9 , 27.4 , 67.4 , 32.6 , 51.6 
UMF 47 CD.JUAREZ,.,., 78.5 , 82.0 , 68.9 , 22.2 , 8.9 , 72.4 , 27.6 , 46.4 
UMF 47 LEON,21.1366,-101.6630, 91.3 , 85.9 , 69.6 , 23.3 , 7.1 , 73.3 , 26.7 , 45.2 
UMF 47 SAN LUIS POTOSI,22.1535,-100.9656, 72.5 , 75.1 , 54.0 , 35.3 , 10.7 , 66.2 , 33.8 , 49.1 
UMF 47 VILLAHERMOSA,.,., 83.5 , 85.6 , 53.5 , 38.1 , 8.4 , 60.6 , 39.4 , 44.0 
UMF 48 CD.JUAREZ,.,., 72.7 , 77.3 , 62.2 , 22.9 , 14.9 , 62.1 , 37.9 , 41.7 
UMF 48 GUADALAJARA,20.6896,-103.3020, 83.2 , 82.6 , 68.1 , 22.3 , 9.6 , 71.6 , 28.4 , 47.3 
UMF 48 TLAXCO,19.6141,-98.1311, 91.9 , 91.4 , 80.4 , 17.0 , 2.6 , 62.2 , 37.8 , 46.1 
UMF 49 CELAYA,20.5183,-100.8205, 75.8 , 74.2 , 54.0 , 38.3 , 7.8 , 66.0 , 34.0 , 43.5 
UMF 49 DURANGO,24.0277,-104.6532, 86.2 , 89.6 , 68.1 , 29.8 , 2.0 , 71.3 , 28.7 , 48.2 
UMF 49 EL ARBOLILLO,19.5206,-99.1658, 53.2 , 62.2 , 43.8 , 36.2 , 20.0 , 79.5 , 20.5 , 42.8 
UMF 5 C.ANAHUAC,19.5069,-99.0849, 73.1 , 72.4 , 54.0 , 22.8 , 23.1 , 70.6 , 29.4 , 50.8 
UMF 5 MONTERREY,25.6659,-100.2999, 82.1 , 84.2 , 57.7 , 37.5 , 4.8 , 70.4 , 29.6 , 54.9 
UMF 5 PUCTE RIO HONDO,.,., 80.2 , 78.0 , 47.1 , 35.8 , 17.1 , 69.9 , 30.1 , 49.6 
UMF 5 SOLEDAD GRACIANO,.,., 92.7 , 85.8 , 75.0 , 22.2 , 2.8 , 74.2 , 25.8 , 48.9 
UMF 5 STO. DOMINGO,.,., 73.9 , 88.7 , 49.4 , 41.5 , 9.1 , 74.2 , 25.8 , 53.9 
UMF 5 TOPOLOBAMPO,25.9119,-109.1735, 100.0 , 100.0 , 81.2 , 18.8 , -   , 55.1 , 44.9 , 56.6 
UMF 5 XICOTENCATL,22.9978,-98.9433, 88.1 , 88.1 , 70.5 , 26.0 , 3.5 , 52.8 , 47.2 , 47.3 
UMF 50 CUATOTOLAPAN,.,., 89.0 , 96.4 , 69.6 , 23.3 , 7.1 , 46.5 , 53.5 , 58.3 
UMF 50 DURANGO,24.0054,-104.6394, 83.4 , 86.2 , 66.0 , 26.0 , 8.0 , 62.1 , 37.9 , 48.0 
UMF 51 ACAYUCAN,17.9484,-94.9158, 81.3 , 87.0 , 34.0 , 61.0 , 5.0 , 71.2 , 28.8 , 48.7 
UMF 51 LEON,21.1659,-101.6774, 89.6 , 88.3 , 73.8 , 20.6 , 5.5 , 67.6 , 32.4 , 47.5 
UMF 52 CUAUTITLAN I.,.,., 74.6 , 78.0 , 68.7 , 21.7 , 9.6 , 70.9 , 29.1 , 49.2 
UMF 52 MERIDA,.,., 83.3 , 88.6 , 53.4 , 38.0 , 8.6 , 56.0 , 44.0 , 58.0 
UMF 53 GOMEZ P C/UMAA,.,., 93.6 , 93.6 , 77.9 , 19.5 , 2.5 , 71.9 , 28.1 , 49.1 
UMF 53 INF. BARRAN,24.8049,-107.3855, 85.7 , 100.0 , 64.2 , 35.8 , -   , 80.2 , 19.8 , 41.3 
UMF 54 TLAQUEPAQUE,18.1509,-94.4229, 76.0 , 74.0 , 77.7 , 14.9 , 7.4 , 71.7 , 28.3 , 44.0 
UMF 55 CULIACAN C/UMAA,.,., 94.6 , 94.6 , 80.7 , 16.7 , 2.6 , 65.0 , 35.0 , 54.0 
UMF 55 FRESNILLO,23.1709,-102.8622, 87.8 , 89.2 , 59.6 , 31.6 , 8.8 , 69.7 , 30.3 , 46.9 
UMF 55 GUADALAJARA,20.6670,-103.3650, 88.3 , 84.6 , 76.3 , 20.1 , 3.7 , 76.1 , 23.9 , 54.5 
UMF 55 PUEBLA,19.0446,-98.1471, 72.0 , 82.2 , 68.4 , 24.9 , 6.7 , 66.7 , 33.3 , 48.6 
UMF 56 LAS MANDARINAS,21.1084,-101.7152, 84.5 , 78.4 , 58.0 , 38.6 , 3.5 , 80.6 , 19.4 , 43.4 
UMF 57 COLON,20.7887,-100.0496, 76.1 , 86.3 , 87.3 , 4.1 , 8.7 , 67.7 , 32.3 , 44.8 
UMF 57 JALTIPAN,17.9604,-94.7063, 69.2 , 82.2 , 30.2 , 56.1 , 13.7 , 62.8 , 37.2 , 55.1 
UMF 57 LA CEIBA,.,., 69.3 , 74.1 , 47.2 , 43.8 , 9.0 , 69.0 , 31.0 , 56.8 
UMF 57 LA MARGARITA,19.0047,-98.2304, 57.5 , 60.5 , 49.1 , 24.4 , 26.5 , 72.7 , 27.3 , 51.0 
UMF 57 VERACRUZ,19.2135,-96.1752, 68.8 , 73.7 , 46.1 , 31.8 , 22.1 , 70.2 , 29.8 , 48.1 
UMF 58 CHIHUAHUA,.,., 75.5 , 95.4 , 67.5 , 22.9 , 9.6 , 65.8 , 34.2 , 45.8 
UMF 58 HUATUSCO,19.1477,-96.9578, 65.1 , 65.1 , 41.0 , 41.8 , 17.2 , 47.6 , 52.4 , 48.4 
UMF 58 LAS MARGARITAS,19.5085,-99.2603, 64.7 , 62.8 , 46.2 , 44.3 , 9.5 , 65.7 , 34.3 , 53.0 
UMF 58 MERIDA,.,., 81.0 , 83.6 , 50.1 , 42.2 , 7.7 , 68.8 , 31.2 , 55.0 
UMF 58 S.PEDRO GARZA,25.6744,-100.4291, 68.7 , 76.1 , 51.2 , 30.6 , 18.2 , 74.5 , 25.5 , 48.3 
UMF 59 MERIDA,.,., 77.8 , 86.8 , 56.5 , 34.9 , 8.6 , 68.5 , 31.5 , 54.8 
UMF 6 IXHUATLANCILLO,18.8922,-97.1476, 89.6 , 89.1 , 44.7 , 53.4 , 1.9 , 65.0 , 35.0 , 56.4 
UMF 6 JESUS MARIA,21.8974,-102.3156, 90.8 , 86.4 , 74.8 , 21.7 , 3.5 , 58.1 , 41.9 , 43.0 
UMF 6 JIQUILPAN,19.4102,-103.3962, 78.8 , 76.0 , 77.8 , 11.1 , 11.1 , 77.0 , 23.0 , 45.5 
UMF 6 JUCHITAN,16.4333,-95.0167, 81.1 , 78.4 , 63.8 , 26.6 , 9.6 , 62.8 , 37.2 , 49.3 
UMF 6 PANZACOLA,19.1513,-98.2154, 78.2 , 75.4 , 71.4 , 6.6 , 21.9 , 74.7 , 25.3 , 49.1 
