Unidad,Latitude,Longitud,imssadis,unidadsadis,pmejoro,pigual,pempeoro,Mujer,Hombre,edad
UMF 6 RIO GRANDE,23.8309,-103.0359, 77.1 , 80.6 , 62.9 , 31.4 , 5.7 , 68.8 , 31.2 , 38.9 
UMF 6 SAN JOSE DEL CABO,23.0621,-109.6957, 90.8 , 88.6 , 76.7 , 19.1 , 4.1 , 50.4 , 49.6 , 43.8 
UMF 60 COATZACOALCOS,18.1336,-94.4681, 78.4 , 87.0 , 52.2 , 38.7 , 9.2 , 62.8 , 37.2 , 52.1 
UMF 60 NAVA,28.4212,-100.7639, 80.0 , 71.6 , 46.5 , 27.8 , 25.7 , 71.7 , 28.3 , 42.6 
UMF 60 PONIENTE,.,., 82.3 , 76.2 , 43.3 , 48.0 , 8.7 , 63.7 , 36.3 , 48.1 
UMF 61 CORDOBA,18.8936,-96.9297, 82.6 , 83.0 , 57.0 , 39.1 , 3.9 , 61.2 , 38.8 , 51.8 
UMF 61 NAUCALPAN,18.9516,-99.4970, 74.8 , 74.5 , 56.5 , 27.2 , 16.3 , 72.0 , 28.0 , 49.2 
UMF 61 NAVOJOA,27.0829,-109.4428, 75.9 , 88.1 , 59.3 , 36.8 , 3.9 , 59.4 , 40.6 , 54.8 
UMF 61 VERACRUZ,19.1708,-96.1338, 72.6 , 75.3 , 56.3 , 34.3 , 9.4 , 72.9 , 27.1 , 55.3 
UMF 62 CUAUTITLAN,19.2829,-99.1401, 61.2 , 69.1 , 49.7 , 28.1 , 22.1 , 68.9 , 31.1 , 41.9 
UMF 63 HERMOSILLO,29.1189,-110.9773, 86.0 , 85.5 , 69.2 , 15.1 , 15.6 , 73.1 , 26.9 , 49.7 
UMF 64 CD. JUAREZ,.,., 95.4 , 94.8 , 67.9 , 19.6 , 12.5 , 79.3 , 20.7 , 47.4 
UMF 64 STA. CATARINA,25.6763,-100.4740, 84.4 , 81.0 , 32.5 , 56.7 , 10.8 , 57.8 , 42.2 , 49.5 
UMF 64 TUXTEPEC,.,., 89.0 , 90.7 , 63.7 , 32.0 , 4.3 , 66.9 , 33.1 , 53.5 
UMF 65 HERMOSILLO,29.1099,-110.9998, 90.2 , 89.9 , 64.0 , 36.0 , -   , 51.1 , 48.9 , 56.1 
UMF 65 STA LUCIA DEL CAMI,17.0508,-96.6913, 91.7 , 89.0 , 68.6 , 28.3 , 3.1 , 71.8 , 28.2 , 52.2 
UMF 66 TORREON,25.5585,-103.4198, 80.8 , 81.7 , 73.5 , 15.7 , 10.8 , 66.5 , 33.5 , 49.0 
UMF 67 CD.VICTORIA C/REHA,.,., 83.2 , 82.4 , 64.1 , 24.8 , 11.1 , 64.2 , 35.8 , 41.8 
UMF 68 VERACRUZ,18.1527,-94.4034, 75.3 , 82.2 , 75.9 , 10.1 , 14.0 , 72.8 , 27.2 , 54.3 
UMF 68 VISTA HERMOSA,25.5402,-103.4396, 84.4 , 83.4 , 74.2 , 3.2 , 22.6 , 68.3 , 31.7 , 44.7 
UMF 69 ETZATLAN,20.7626,-104.0800, 96.5 , 100.0 , 93.4 , 6.6 , -   , 71.3 , 28.7 , 46.9 
UMF 7 CALZ. TLALPAN,19.2793,-99.1673, 60.8 , 57.2 , 43.9 , 30.9 , 25.2 , 69.0 , 31.0 , 49.0 
UMF 7 NUEVO IDEAL,24.8875,-105.0728, 82.9 , 86.2 , 21.8 , 74.8 , 3.4 , 64.6 , 35.4 , 55.5 
UMF 7 S.JUAN DEL RIO,22.1438,-101.0105, 67.5 , 73.2 , 48.6 , 36.2 , 15.1 , 69.5 , 30.5 , 42.9 
UMF 7 S.PEDRO G. C/UMAA,.,., 87.6 , 89.3 , 60.7 , 31.1 , 8.2 , 68.5 , 31.5 , 51.1 
UMF 7 SANTA INES,19.4165,-98.1514, 88.0 , 86.1 , 68.8 , 22.4 , 8.8 , 59.2 , 40.8 , 46.4 
UMF 7 SOMBRERETE,23.6333,-103.6333, 76.9 , 81.7 , 57.4 , 28.9 , 13.7 , 71.8 , 28.2 , 50.3 
UMF 70 SALTILLO,25.4251,-100.9845, 71.6 , 76.0 , 60.6 , 37.4 , 2.0 , 87.4 , 12.6 , 42.7 
UMF 73 SALTILLO,25.4168,-101.0085, 81.8 , 85.7 , 62.8 , 25.6 , 11.6 , 73.2 , 26.8 , 48.5 
UMF 75 MORELIA C/UMAA,.,., 90.5 , 92.5 , 73.6 , 17.6 , 8.8 , 73.1 , 26.9 , 48.0 
UMF 76 NVO LARED C/UMAA,.,., 78.7 , 81.4 , 67.1 , 23.4 , 9.5 , 78.0 , 22.0 , 42.8 
UMF 76 URUAPAN,.,., 94.3 , 88.9 , 66.5 , 19.0 , 14.5 , 74.8 , 25.2 , 53.4 
UMF 77 CD. MADERO,32.6392,-115.4671, 74.2 , 73.4 , 39.3 , 44.6 , 16.1 , 57.3 , 42.7 , 40.2 
UMF 77 LA PIEDAD,.,., 92.1 , 94.8 , 94.8 , 2.4 , 2.8 , 83.0 , 17.0 , 47.2 
UMF 78 GUADALAJARA,20.6535,-103.2998, 76.9 , 82.2 , 65.8 , 22.1 , 12.1 , 76.9 , 23.1 , 48.8 
UMF 78 LAZARO CARDENAS,17.9931,-102.2202, 82.6 , 87.9 , 66.5 , 24.8 , 8.7 , 64.6 , 35.4 , 46.1 
UMF 78 NETZAHUALCOYOTL,.,., 77.4 , 80.7 , 46.0 , 43.4 , 10.6 , 61.0 , 39.0 , 50.3 
UMF 78 NUEVO LAREDO,27.4929,-99.5044, 87.3 , 92.4 , 65.4 , 29.1 , 5.5 , 73.4 , 26.6 , 50.6 
UMF 79 GUADALAJARA,20.6970,-103.3400, 80.2 , 87.0 , 86.0 , 3.2 , 10.8 , 50.7 , 49.3 , 48.5 
UMF 79 MATAMOROS,25.8814,-97.5084, 83.9 , 88.2 , 72.6 , 23.1 , 4.3 , 66.8 , 33.2 , 53.9 
UMF 79 PIEDRAS NEGRAS,.,., 81.0 , 85.2 , 64.9 , 30.0 , 5.1 , 61.9 , 38.1 , 40.5 
UMF 8 AGUASCALIENTES,21.8979,-102.2719, 88.1 , 91.4 , 68.0 , 27.0 , 5.0 , 67.6 , 32.4 , 47.6 
UMF 8 SANTA ROSALIA,26.8917,-111.9808, 66.0 , 70.8 , 48.8 , 24.1 , 27.1 , 58.3 , 41.7 , 44.9 
UMF 8 VILLA AYALA,25.7981,-100.3120, 87.6 , 85.2 , 47.4 , 34.2 , 18.4 , 82.0 , 18.0 , 49.9 
UMF 80 MORELIA,19.7023,-101.1926, 87.2 , 90.0 , 81.3 , 13.6 , 5.1 , 73.3 , 26.7 , 46.7 
UMF 82 ZAMORA,41.5073,-5.7453, 88.0 , 92.0 , 82.7 , -   , 17.3 , 77.1 , 22.9 , 46.6 
UMF 84 CHIMALHUACAN,19.4114,-98.9353, 80.2 , 80.9 , 61.1 , 27.1 , 11.7 , 63.6 , 36.4 , 46.6 
UMF 88 STA.ANITA,19.5536,-99.2677, 78.7 , 85.0 , 61.3 , 32.1 , 6.6 , 40.3 , 59.7 , 47.1 
UMF 9 ACAPULCO,16.8586,-99.8971, 86.9 , 89.5 , 76.9 , 17.3 , 5.8 , 62.9 , 37.1 , 51.4 
UMF 9 AGUASCALLIENTES,21.8451,-102.2970, 80.7 , 83.8 , 66.9 , 25.9 , 7.3 , 70.3 , 29.7 , 44.4 
UMF 9 DEL TINTERO,20.5888,-100.3899, 75.9 , 79.2 , 60.6 , 30.2 , 9.2 , 66.5 , 33.5 , 42.3 
UMF 9 SALINAS VICTORIA,25.9635,-100.2855, 81.5 , 82.1 , 46.2 , 45.2 , 8.6 , 67.4 , 32.6 , 49.7 
UMF 9 VILLA FRONTERA,26.9175,-101.4692, 70.0 , 76.6 , 46.4 , 44.7 , 8.9 , 57.0 , 43.0 , 44.0 
UMF 91 VILLA FLORES,.,., 74.6 , 77.8 , 70.0 , 28.0 , 2.0 , 58.1 , 41.9 , 45.8 
UMF 92 CD.AZTECA,.,., 69.1 , 77.3 , 51.3 , 36.9 , 11.7 , 66.1 , 33.9 , 50.1 
UMF 92 MIRAVALLE,20.5923,-103.3487, 58.0 , 65.9 , 54.4 , 26.4 , 19.2 , 62.9 , 37.1 , 49.8 
UMF 93 CERRO GORDO,13.7225,-89.2091, 67.4 , 78.4 , 52.3 , 36.8 , 10.9 , 69.9 , 30.1 , 48.9 
UMF 95 PANTACO,.,., 86.1 , 90.0 , 66.6 , 29.5 , 3.9 , 63.0 , 37.0 , 53.4 
UMF18 TIJUANA,.,., 83.4 , 81.4 , 59.5 , 30.6 , 9.9 , 65.2 , 34.8 , 44.2 
UMF68 c/UMAA,.,., 77.3 , 81.0 , 78.2 , 14.1 , 7.6 , 66.2 , 33.8 , 44.6 
UMF73 POZA RICA,.,., 78.5 , 84.2 , 73.1 , 21.8 , 5.0 , 70.5 , 29.5 , 50.6 
UMF74 COATZINTLA,.,., 89.7 , 96.8 , 83.6 , 12.8 , 3.6 , 54.1 , 45.9 , 50.4 
UMFH 11 RASCON,21.8797,-99.5038, 93.1 , 92.5 , 73.4 , 11.7 , 14.9 , 60.9 , 39.1 , 48.5 
UMFH 11 VILLA JUAREZ,43.1365,.9745, 85.3 , 81.6 , 69.0 , 24.6 , 6.4 , 64.1 , 35.9 , 47.8 
UMFH 13 GRAL. TERAN,25.2508,-99.6769, 84.4 , 87.1 , 57.7 , 36.4 , 6.0 , 49.5 , 50.5 , 49.8 
UMFH 13 SAN QUINTIN,31.8140,-116.6019, 86.4 , 86.4 , 60.1 , 33.9 , 5.9 , 54.7 , 45.3 , 48.3 
UMFH 13 TLAHUALLILO,36.8214,-2.8714, 72.9 , 72.9 , 61.2 , 38.8 , -   , 71.7 , 28.3 , 45.9 
UMFH 15 JUAN JOSE RIOS,.,., 100.0 , 90.6 , 56.4 , 37.0 , 6.6 , 64.8 , 35.2 , 57.3 
UMFH 18 ZAPOTILTIC,19.6291,-103.4163, 100.0 , 95.6 , 87.9 , 8.7 , 3.4 , 83.0 , 17.0 , 45.3 
UMFH 19 CD. HIDALGO,19.9547,-102.3062, 90.9 , 86.6 , 75.1 , 24.9 , -   , 81.5 , 18.5 , 46.1 
UMFH 19 HUNUCMA,.,., 94.3 , 91.5 , 52.2 , 41.1 , 6.7 , 73.0 , 27.0 , 52.8 
UMFH 2 CHAMPOTON,19.3592,-90.7194, 79.7 , 73.6 , 43.4 , 50.0 , 6.6 , 77.1 , 22.9 , 51.5 
UMFH 2 PROGRESO,21.2812,-89.6652, 72.2 , 75.9 , 47.4 , 43.0 , 9.7 , 79.8 , 20.2 , 52.7 
UMFH 20 PATZCUARO,19.5298,-101.6102, 85.0 , 91.2 , 84.7 , 12.5 , 2.8 , 70.5 , 29.5 , 47.8 
UMFH 21 C.CAMARGO,19.2373,-103.7222, 78.3 , 78.3 , 54.7 , 34.1 , 11.2 , 59.5 , 40.5 , 45.4 
UMFH 24 C.JIMENEZ,19.2410,-103.6972, 84.3 , 77.6 , 69.2 , 27.8 , 2.9 , 46.4 , 53.6 , 45.0 
UMFH 24 IZUCAR MATAMOR,.,., 84.0 , 90.9 , 56.9 , 23.2 , 20.0 , 58.7 , 41.3 , 44.0 
UMFH 28 CALIPAN,18.2643,-97.1523, 78.7 , 66.5 , 38.8 , 35.3 , 25.9 , 53.0 , 47.0 , 56.2 
UMFH 3 C.MORELOS,.,., 72.0 , 71.5 , 52.6 , 40.3 , 7.1 , 57.5 , 42.5 , 50.7 
UMFH 31 EL ROSARIO,22.9869,-105.8529, 93.5 , 96.5 , 61.2 , 35.8 , 3.0 , 44.7 , 55.3 , 55.5 
UMFH 4 TEQUISQUIAPAN,20.5212,-99.8862, 81.3 , 82.9 , 64.8 , 29.0 , 6.2 , 83.2 , 16.8 , 47.0 
UMFH 5 EL SALTO,20.5187,-103.1780, 66.9 , 79.9 , 70.8 , 18.2 , 11.0 , 68.4 , 31.6 , 45.2 
UMFH 6 CORTAZAR,20.4867,-100.9659, 96.8 , 96.8 , 71.3 , 25.7 , 2.9 , 84.7 , 15.3 , 43.1 
UMFH 64 PURUANDIRO,19.6737,-101.2009, 81.7 , 88.7 , 37.1 , 44.0 , 19.0 , 58.2 , 41.8 , 54.9 
UMFH 9 PENJAMO,20.4314,-101.7221, 67.6 , 67.6 , 67.3 , 25.6 , 7.2 , 40.3 , 59.7 , 44.6 
