Tipo de domicilio,Tipo de vialidad,Nombre de vialidad,Número exterior,Número interior,Tipo de asentamiento humano,Nombre del asentamiento humano,Código Postal,Nombre de la localidad,Nombre del Municipio o Delegación,Nombre del Estado o el Distrito Federal,Vialidad posterior (opcional),Descripción de ubicación (opcional),Latitud,Longitud,Horario de atención inicio,Horario de atención término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Horario de recepción inicio,Horario de recepción término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Horario de entrega inicio,Horario de término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Todos los trámites
UMF 187 LA HIGUERA,Avenida,Av. Principal ,S/N,,,Col. Centro ,54470,Villa Nicolás Romero, Edo. de Méx. Poniente, Edo. México Poniente,,,19.6211036,-99.3103372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       7 SANTA INES,Avenida,Av. Puebla ‚Äì Tlaxcala,5,,,,90300,Zacatelco,Tlaxcala,Tlaxcala,,,19.4164949,-98.1514214,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  12 CD. CARMEN,Avenida,Av. Puerto de Campeche,S/N,,,Col. Santa Isabel,,Ciudad del Carmen, Campeche,Campeche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF 8 ENSENADA,Avenida,Av. Reforma,84,,,Fracc. Bahía ,22880,Ensenada, Baja California Norte,Baja California,,,31.841724,-116.6029828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      31 GUACAMAYAS,Avenida,Av. Reforma,S/N,,,Col. Aníbal Ponce ,60960,Guacamayas,Michoacán,Michoacán,,,17.9886259,-102.2224164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       9 S.PEDRO PINOS,Avenida,Av. Revolución,S/N,,,Col. San Pedro de los Pinos ,3800,México , D.F. ,D.F.,,,19.3904588,-99.1859584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH   2 CHAMPOTON,Avenida,Av. Revolución ,1,,,Col. Centro ,24400,Champotón, Campeche,Campeche,,,19.3592082,-90.7194008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 46 TLATLAUQUITEPEC,Avenida,Av. Revolución ,5,,,,73900,Tlatlauquitepec, Puebla,Puebla,,,19.8571817,-97.4947669,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF  11 CD. DELICIAS,Avenida,Av. Rio Conchos Poniente,S/N,,,Col Centro,,,,Chihuahua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      15 MONTERREY,Avenida,Av. Ruiz Cortines ,S/N,,,Col. Moderna ,64530,Monterrey, Nuevo León,Nuevo León,,,25.7031264,-100.2487633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      77 SAN AGUSTIN,Avenida,Av. San Agustín,S/N,,,Fracc. San Agustín,,,, Edo. México Oriente,,,19.3443585,-99.2234313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  78 GUADALAJARA,Avenida,Av. San Jacinto ,588,,,Col. Sector Reforma ,44810,Guadalajara, Jalisco,Jalisco,,,20.6535247,-103.2998109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      74 SAN RAFAEL,Avenida,Av. San Rafael ,S/N,,,,,,, Edo. México Oriente,,,20.6475389,-103.3079908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       228 SANTIAGO,Avenida,Av. San Román,S/N,,,Col. Barrio de San Gaspar ,51900,Ixtapan de la Sal, Edo. de Méx. Poniente, Edo. México Poniente,,,18.8419639,-99.6819746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      80 SATELITE,Avenida,Av. Santa Mónica ,S/N,,,Col. Santa Mónica ,52480,Tlalnepantla, Edo. de Méx. Poniente, Edo. México Poniente,,,18.96649,-99.41378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  67 CD. JUAREZ,Avenida,Av. Santos Dumont,654,,,Parque Industrial Panamerica,,,,Chihuahua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH  10 TEQUILA,Avenida,Av. Sixto Gorjón ,223,,,Col. Centro ,46400,Tequila, Jalisco,Jalisco,,,20.8804508,-103.8361177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   28 MARTINEZ TORRE,Avenida,Av. Soledad ,817,,,Col. Soledad  ,93610,Martínez de la Torre Norte, Veracruz Norte, Veracruz Norte,,,20.0567674,-97.0595648,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH   6 CANATLAN,Avenida,Av. Soledad Alvarez,S/N,,,,34409,Canatlán, Durango,Durango,,,22.1741622,-100.9604336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       180 CHALCO I C/UMAA,Avenida,Av. Solidaridad,S/N,,,Col. Providencia ,50720,Valle de Chalco, Edo. de Méx. Oriente, Edo. México Oriente,,,19.7115156,-99.7956101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      35 MONTERREY,Avenida,Av. Solidaridad,S/N,,,Col. Fraccionamiento Aztlán ,64730,Monterrey, Nuevo León,Nuevo León,,,25.6732109,-100.309201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       186 IZTACALA,Avenida,Av. SOMEX,S/N,,,Col. Los Reyes Iztacala,,,, Edo. México Oriente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      13 CANCUN NORTE,Avenida,Av. Talleres,S/N,,,Región 89,77527,Benito Juárez, Quintana Roo,Quintana Roo,,,21.1857344,-86.8092875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  44  CHIHUAHUA,Avenida,Av. Tecnológico,S/N,,,Col. Las Granjas,,,,Chihuahua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  49   EL ARBOLILLO,Avenida,Av. Tenayuca Chalmita,S/N,,,"Col. El Arbolillo, ",7740,,,D.F.,,,19.520601,-99.1657779,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       181 CHALCO II,Avenida,Av. Tezozomoc,S/N,,,Col. Alfredo Baranda,,,, Edo. México Oriente,,,19.2775848,-98.943635,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 160 EL VERGEL,Avenida,Av. Tláhuac ,4687,,,Col. El Vergel ,9880,Iztapalapa , D.F. ,D.F.,,,19.3194922,-99.0806373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  162 C/UMAA,Avenida,Av. Tláhuac ,5662,,,"Col. Los Olivos, ",13360,Delegacion Iztapalapa,,D.F.,,,19.2964841,-99.0343343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  93 TONALA,Avenida,Av. Tonaltecas ,131,,,Col. Centro ,45400,Tonalá, Jalisco,Jalisco,,,20.6164646,-103.2319104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  38 SAN LUIS,Avenida,Av. Tuxpán,S/N,,,Col. Solidaridad  ,83496,San Luis Río Colorado, R.C. Son.,Sonora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  16 MEXICALI,Avenida,Av. Uxmal,S/N,,,Col. Pueblo Nuevo ,21050,Mexicali, Baja California Norte,Baja California,,,32.6485584,-115.4954619,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  34 CD.JUAREZ,Avenida,Av. Valentín Fuentes,2582,,,Col Infonavit Casas Grandes,,,,Chihuahua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      43 CHURUMUCO,Avenida,Av. Veracruz ,S/N,,,,61880,Churumuco,Michoacán,Michoacán,,,19.5665192,-101.7068294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     74 TAMPICO ALTO,Avenida,Av. Veracruz ,S/N,,,Col. Zona Centro ,92040,Tampico Alto,Tamaulipas,Tamaulipas,,,22.1114627,-97.8011454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH   2 BENITO JUAREZ,Avenida,Av. Vicente Guerrero,S/N,,,Lic. Benito Juárez,21900,Mexicali, Baja California Norte,Baja California,,,32.6245389,-115.4522623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  47 ZAPOTLANEJO,Avenida,"Av., Juárez ",330,,,Col. Jardines del Paraíso ,45430,Zapotlanejo, Jalisco,Jalisco,,,20.6224379,-103.0594239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      22 TEPALCINGO,Avenida,Av.. Morelos Centro,S/N,,,Col. José Ma. Morelos ,,,,Morelos,,,19.2392778,-103.7250557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  19 VIZCAINO,Avenida,Ave. Fundadores,S/N,,,,23935,Ejido Gustavo Díaz Ordaz, Baja California Sur,Baja California Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   68 RINCÓN DE LA SIERRA,Avenida,Ave. Maestro Israel Cavazos ,S/N,,,Col. Rincón de la Sierra,67192,Guadalupe,Nuevo León,Nuevo León,,,25.6568737,-100.1821451,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  3 PABELLON ARTEAGA,Avenida,Ave. Revolución,S/N,,,Col. Centro,20660,Pabellón de Arteaga, Aguascalientes,Aguascalientes,,,24.7957998,-107.3658839,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  36 MESA DEL OTAY,Avenida,Ave. Tecnológicos,15100,,,Mesa de Otay,22320,Tijuana, Baja California Norte,Baja California,,,21.1621452,-100.933334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   76 NVO LAREDO C/UMAA   ,Avenida,Avenida Eva Samano de López Mateos Calle Lauro del Villar ,2531,,,Col. La Fe,88135,,,Tamaulipas,,,27.4966689,-99.5463484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  20 ACATLAN,Calle,B. Javier Mina,S/N,,,,91420,Acatlán de Pérez Figueroa Sur, Veracruz Sur, Veracruz Sur,,,19.6963767,-96.8417564,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      64 TOLIMAN,Calle,Barrio de Casa Viejas ,S/N,,,Col.  ,,Tolimán, Querétaro,Querétaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       238 SULTEPEC,Calle,Barrio de Jesús María,S/N,,,Villa Victoria,50960,Villa Victoria, Edo. de Méx. Poniente, Edo. México Poniente,,,19.4337588,-99.1277963,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 25 MINERAL MONTE,Calle,Barrio San Francisco,S/N,,,Col. San Francisco ,42130,Mineral del Monte, Hidalgo,Hidalgo,,,20.1490969,-98.6751356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  5   CUAUHTEMOC,Calle,Basilio Vadillo,S/N,,,,28500,Cuauhtemoc, Colima,Colima,,,19.3249872,-103.6039912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  3   ARMERIA,Calle,Basilio Vadillo,S/N,,,Col. Zona Centro ,28300,Armería, Colima,Colima,,,18.938629,-103.968464,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  3 GUADALAJARA,Calle,Belisario Domínguez ,815,,,Col. Sector Libertad ,44340,Guadalajara, Jalisco,Jalisco,,,20.6744293,-103.3208135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      62 NAVOJOA,Calle,Belisario Domínguez ,S/N,,,Col Deportiva ,85800,,,Sonora,,,27.0656221,-109.4601598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      67 REVOLUCION,Calle,Bellavista 2600,2600,,,col. Puerto México ,96510,Coatzacoalcos,Veracruz Sur, Veracruz Sur,,,18.1487991,-94.4462533,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   54 N.CASAS GRANDES,Calle,Benito Juárez,1701,,,Col Centro ,31700,,,Chihuahua,,,30.4247185,-107.9067249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  9 S.FCO. DEL ORO,Calle,Benito Juárez,S/N,,,Centro,,,,Chihuahua,,,18.9173861,-99.2337674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    31 S.NICOLAS GARZA,Calle,Benito Juárez,S/N,,,Col.  ,66460,San Nicolás de los Garza, Nuevo León,Nuevo León,,,25.7290149,-100.3225446,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      96 TEPOZANES,Calle,Benito Juárez ,S/N,,,Col. Nueva Santa María,,,, Edo. México Oriente,,,32.6322834,-115.4464568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH     11 VICAM,Calle,Benito Juárez ,22,,,Col.  ,85510,Guaymas, Sonora,Sonora,,,27.7260159,-110.3858601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  25  SANCHEZ MAG.,Calle,Benito Juárez ,"249,  ",,,Col. Centro ,86460,Villa Sánchez Magallanes,Tabasco,Tabasco,,,18.001342,-93.371284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      56 LA ASCENCION,Calle,Bernardo Reyes,S/N,,,Col.  ,67950,La Ascensión, Nuevo León,Nuevo León,,,24.1007394,-99.8179309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    10 MATEHUALA,Calle,Betancourt ,S/N,,,Col.  ,78700,Matehuala, San Luis Potosí,San Luis Potosí,,,23.6506429,-100.6412845,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF 1 LA PAZ,Boulevard,Blv. 5 de Febrero,S/N,,,Col. Pueblo Nuevo ,23060,La Paz, Baja California Sur,Baja California Sur,,,24.148875,-110.3322024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  27 TIJUANA,Boulevard,Blv. Gustavo Díaz Ordaz,S/N,,,Col. La Mesa ,22650,Tijuana, Baja California Norte,Baja California,,,32.5393046,-117.0625375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 6 JESUS MARIA,Boulevard,Blv. Miguel de la Madrid,S/N,,,Fracc. Agua Clara   ,20010,Jesús María, Aguascalientes,Aguascalientes,,,21.8973656,-102.3156087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF 16 TORREON,Boulevard,Blv. Revolución,S/N,,,Col. Torreón Jardín ,27100,Torreón, Coahuila,Coahuila,,,25.5358559,-103.4580186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  43 GOMEZ PALACIO,Boulevard,Blv. Sánchez Madariaga,S/N,,,Col. El Dorado,,,,Durango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   32 GUASAVE,Boulevard,Blvd. 16 de Septiembre,S/N,,,Col. Centro ,81000,Guasave , Sinaloa,Sinaloa,,,25.5735537,-108.4636611,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      77 LA PIEDAD,Boulevard,Blvd. A. L. Mateos ,520,,,Col. Centro,,La Piedad,Michoacán,Michoacán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      77 CD. MADERO,Boulevard,Blvd. Adolfo López Mateos,S/N,,,Col. Las Conchitas ,89401,Ciudad Madero, Tamaulipas,Tamaulipas,,,32.6391734,-115.4670747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      14 AEROPUERTO,Boulevard,Blvd. Aeropuerto ,88,,,Col. Santa Cruz Aviación ,15500,Venustiano Carranza , D.F. ,D.F.,,,19.4170844,-99.0976393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF 2 CD.CONSTITUCION,Boulevard,Blvd. Agustín Olachea ,200,,,Col. Fraccionamiento Real ,23680,Cd. Constitución, Baja California Sur,Baja California Sur,,,26.0707889,-111.8442001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  47 LEON,Boulevard,Blvd. Antonio Madrazo ,307,,,Col. Las Trojes ,37227,León, Guanajuato,Guanajuato,,,21.1365598,-101.6629457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF   30 GUAMUCHIL,Boulevard,Blvd. Antonio Rosales ,S/N,,,Col. Morelos ,81460,Guamuchil , Sinaloa,Sinaloa,,,25.4586777,-108.07765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  18  COMITAN,Boulevard,Blvd. Belisario Domínguez,S/N,,,Col. Centro ,30000,Comitán de Domínguez, Chiapas,Chiapas,,,16.2481034,-92.133124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      20 CUERNAVACA,Boulevard,Blvd. Benito Juárez ,18,,,Col. Centro,,,,Morelos,,,19.3240272,-103.7587723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     4 GUAYMAS,Boulevard,Blvd. Benito Juárez  ,S/N,,,Col. Las Villas ,85440,Guaymas, Sonora,Sonora,,,27.9198678,-110.9153536,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       5 JEREZ,Boulevard,Blvd. Bernardo Quintana ,S/N,,,Col. Fraccionamiento Club de Leones ,99340,Jerez, Zacatecas, Zacatecas,,,22.6479997,-102.9757493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 56 LAS MANDARINAS,Boulevard,Blvd. Cereza ,"1005,",,,Col. Las Mandarinas ,37419,León,Guanajuato,Guanajuato,,,21.1083866,-101.71516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF   41 HUATULCO,Boulevard,Blvd. Chahue ,S/N,,,Col. Santa Cruz Huatulco ,70980,Santa Cruz Huatulco, Oaxaca,Oaxaca,,,15.8333333,-96.3166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   13 TUXTLA GUTIERREZ,Boulevard,Blvd. Chicoasén,S/N,,,Col. Las Palmas ,29040,Tuxtla Gutiérrez, Chiapas,Chiapas,,,16.7552753,-93.0888186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      58 S.PEDRO GARZA,Boulevard,Blvd. Díaz Ordaz ,336,,,Col.  ,66210,San Pedro Garza García, Nuevo León,Nuevo León,,,25.6743806,-100.4291164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       7 S.PEDRO GARZA,Boulevard,Blvd. Díaz Ordaz ,S/N,,,Col. La leona ,66210,Garza García, Nuevo León,Nuevo León,,,25.6743806,-100.4291164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      36 CULIACAN,Boulevard,Blvd. E. Cabrera ,3106,,,Col. Infonavit Humaya ,80020,Culiacán , Sinaloa,Sinaloa,,,24.7659831,-107.424301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF  20 FCO.I.MADERO,Boulevard,Blvd. Francisco I Madero ,550,,,Col. Nuevo Linares del Sur ,27900,Francisco I. Madero, Coahuila,Coahuila,,,25.771578,-103.2742878,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  34 LA PAZ,Boulevard,Blvd. Francisco J. Mújica ,No.4090 e/,,,Col. INDECO,23070,La Paz, Baja California Sur,Baja California Sur,,,24.1294664,-110.3292058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  16  ARRIAGA,Boulevard,Blvd. Francisco Sarabia,S/N,,,Col. Centro ,30450,Arriaga, Chiapas,Chiapas,,,16.2396356,-93.8885471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  18   TEAPA,Boulevard,Blvd. Francisco Trujillo,S/N,,,Col. Centro ,86800,Teapa , Tabasco,Tabasco,,,17.5550342,-92.9478941,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  50 DURANGO,Boulevard,Blvd. Francisco Villa,S/N,,,Col. Fidel Velázquez ,34220, Durango, Durango,Durango,,,24.0053678,-104.6394087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF 7 MONCLOVA,Boulevard,Blvd. Harold R. Pape,S/N,,,Col. Centro ,25700,Monclova, Coahuila,Coahuila,,,26.914654,-101.4277545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    33 CD. REYNOSA,Boulevard,Blvd. Hidalgo ,2000,,,Col. Del Valle ,88620,Ciudad Reynosa, Tamaulipas,Tamaulipas,,,26.0790764,-98.3086022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  1  AGUASCALIENTES,Boulevard,Blvd. José María Chávez ,1202,,,Col. Fraccionamiento Lindavista ,20270,Aguascalientes, Aguascalientes,Aguascalientes,,,21.8300674,-102.2873493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH  30 OJINAGA,Boulevard,Blvd. Libre Comercio,S/N,,,Col Fronteriza,,,,Chihuahua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      37 LOS MOCHIS,Boulevard,Blvd. López Mateos,S/N,,,Col. Las Fuentes ,81256,Los Mochis , Sinaloa,Sinaloa,,,25.7943589,-108.9867041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    26 ACAPULCO,Boulevard,Blvd. López Portillo calle 2,S/N,,,Col. Zapata ,39700,Acapulco, Guerrero,Guerrero,,,16.863794,-99.881614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      51 STA.MONICA,Boulevard,Blvd. Manuel Ávila Camacho ,S/N,,,Col. Santa Mónica ,54050,Edo. de Mex. Poniente,Edo. de Méx. Poniente, Edo. México Poniente,,,19.5613607,-99.2063656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    3 CD. VALLES,Boulevard,Blvd. México Laredo ,66 Sur ,,,Col.  ,79000,Ciudad Valles, San Luis Potosí,San Luis Potosí,,,21.9580806,-98.9924681,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  53 C/UMAA GOMEZ P,Boulevard,Blvd. Miguel Alemán,S/N,,,Col. Centro ,35000,,,Durango,,,25.554738,-103.5075814,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   3 SALAMANCA,Boulevard,Blvd. Morelos,S/N,,,Col. San Pedro ,36740,Salamanca, Guanajuato,Guanajuato,,,20.5964777,-101.1895838,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   10 S. IXCUINTLA,Boulevard,Blvd. Nicolás Echeverría,S/N,,,,63330,Ixcuintla,Nayarit,Nayarit,,,21.8156,-105.2001014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  3 RAMOS ARIZPE,Boulevard,Blvd. Plan de Guadalupe,S/N,,,Col. Centro ,25900,Ramos Arizpe, Coahuila,Coahuila,,,25.5432438,-100.9482774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF 18 TORREON,Boulevard,Blvd. Revolución ,250 Ote. ,,,Col. Zona Centro ,27000,Torreón, Coahuila,Coahuila,,,25.5356746,-103.4494888,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  27   MACUSPANA,Boulevard,Blvd. Rovirosa,S/N,,,Col. Centro ,86700,Macuspana , Tabasco,Tabasco,,,17.7607017,-92.5936096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGOMF 7 TIJUANA,Boulevard,Blvd. Salinas,802,,,Col.  Aviación ,22420,Tijuana, Baja California Norte,Baja California,,,32.5135561,-117.005192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   23 TUXTLA GUTIERREZ,Boulevard,Blvd. Salomón González Blanco ,2560,,,Col. Infonavit Canteras ,29014,Tuxtla Gutierrez, Chiapas,Chiapas,,,16.768592,-93.0997461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  86 MONCLOVA,Boulevard,Blvd. San José,S/N,,,Col. Mirador ,25740,Monclova, Coahuila,Coahuila,,,26.8989074,-101.4262514,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  9  AGUASCALLIENTES,Boulevard,Blvd. Siglo XXI ,301,,,Col. Fraccionamiento Ojocaliente ,20196,Delegación Jesús Terán , Aguascalientes,Aguascalientes,,,21.8450804,-102.2969743,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   53 LEON,Boulevard,Blvd. Torres Landa ,No.5803,,,Col. Jardines de Jerez 2a.Sec. ,37530,León,Guanajuato,Guanajuato,,,21.0978217,-101.6448005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF 2 SALTILLO,Boulevard,Blvd. Venustiano Carranza,S/N,,,Col. Fraccionamiento Kiosco ,25270,Saltillo, Coahuila,Coahuila,,,25.4497237,-100.9881918,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  30 BELLA VISTA,Boulevard,Blvd.. Isabel Villanueva ,38,,,Col. Centro ,45720,Acatlán de Juárez, Jalisco,Jalisco,,,20.4230629,-103.5890464,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      14 PUEBLO NUEVO,Boulevard,"Boulevard Forjadores de Puebla, Esq., con Calle Vicente Guerrero S/","No.,",,,"Col. Ignacio Romero Vargas, ",72120,Puebla, Puebla,Puebla,,,19.0412967,-98.2061996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  52 TLAQUEPAQUE,Boulevard,Boulevard García Barragán ,1596,,,"Col. Olímpica, ",44440,Tlaquepaque, Jalisco,Jalisco,,,20.6561169,-103.328054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  32 PACHUCA,Boulevard,Boulevard Luis Donaldo Colosio,201,,,Fracc. Rincón del Valle,42080,,,Hidalgo,,,20.0976128,-98.7095789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     33 PEDRO POCHUTLA,Boulevard,Boulevard Prof. Alberto gallardo blanco,S/N,,,Col. Chilpancingo,70900,San Pedro Pochutla,Oaxaca,Oaxaca,,,15.7489259,-96.4672856,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   25 TUXTLA GUTIERREZ,Boulevard,Boulevard S.S. Juan Pablo II,S/N,,,"Col. Reserva Polyforum, ",29000,Tuxtla Gutiérrez, Chiapas,Chiapas,,,16.747309,-93.109825,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 14  ZARAGOZA,Calle,Bravo ,S/N,,,Col. Zona Centro ,27450,Zaragoza, Coahuila,Coahuila,,,25.530869,-103.223692,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 81  CIUDAD ACUÑA,Calle,Bravo ,580 Sur ,,,Col. Zona Centro ,26200,Ciudad Acuña, Coahuila,Coahuila,,,28.9988005,-100.6748311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      73 URUAPAN,Calle,Bruselas,S/N,,,Col. Granja Linda,,Uruapán,Michoacán,Michoacán,,,50.8503396,4.3517103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       9 YANGA,Calle,Calle,S/N,,,Col.  ,94910,Yanga Sur, Veracruz Sur, Veracruz Sur,,,18.811081,-96.723602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      54 TICUL,Calle,Calle  24 x 13  ,S/N,,,Col. Barrio de Guadalupe ,97860,Ticul, Yucatán, Yucatán,,,20.3981978,-89.5355295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      58 MÉRIDA,Calle,Calle  42 Sur ,999,,,Col. Serapio Rendón ,97285,Mérida, Yucatán, Yucatán,,,20.9442473,-89.6124472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  13 SAUCILLO,Calle,Calle 10,S/N,,,Col Centro,,,,Chihuahua,,,21.0188675,-89.6251973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      14 CANCUN SUR,Calle,Calle 11 ,S/N,,,Col. Centro ,77517,Benito Juárez, Quintana Roo,Quintana Roo,,,21.1397409,-86.8918605,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       17 MAXCANÚ,Calle,Calle 16 ,99 X 21 ,,,Col. Centro ,97800,Maxcanú, Yucatán, Yucatán,,,20.5870954,-90.004663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
