Tipo de domicilio,Tipo de vialidad,Nombre de vialidad,Número exterior,Número interior,Tipo de asentamiento humano,Nombre del asentamiento humano,Código Postal,Nombre de la localidad,Nombre del Municipio o Delegación,Nombre del Estado o el Distrito Federal,Vialidad posterior (opcional),Descripción de ubicación (opcional),Latitud,Longitud,Horario de atención inicio,Horario de atención término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Horario de recepción inicio,Horario de recepción término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Horario de entrega inicio,Horario de término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Todos los trámites
UMF 9 SANTA MARIA COAPAN,Calle,31 Poniente ,1418,,,Col. Fraccionamiento Santa María Coapan ,75857,Tehuacán, Puebla,Puebla,,,18.4410056,-97.4037842,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    12 SAN PEDRO CHOLULA,Calle,4 Norte,1001,,,,72760,San Pedro Cholula, Puebla,Puebla,,,19.0541714,-98.2941715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  24  CINTALAPA,Calle,4a. Oriente,S/N,,,Col. Centro ,30400,Cintalapa, Chiapas,Chiapas,,,16.6927065,-93.7193094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      26 PINOTEPA,Calle,4a. Oriente ,703,,,Barrio del Panteón,71510,,Oaxaca,Oaxaca,,,16.7880678,-96.6712552,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     45 TLACOJALPAN,Calle,5 de Mayo,S/N,,,Col.  ,95520,Tlacojalpan Sur, Veracruz Sur, Veracruz Sur,,,18.2289654,-95.9420091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 25 MELCHOR MUZQUIZ,Calle,5 de Mayo ,323,,,Col. Zona Centro ,26340,Múzquiz, Coahuila,Coahuila,,,27.8786111,-101.5172222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  14 SILAO,Calle,5 de Mayo ,93,,,Col. Independencia ,36100,Silao, Guanajuato,Guanajuato,,,20.9447419,-101.4169419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  50 ATOTONILQUILLO,Calle,5 de Mayo ,155,,,Col. Centro ,45930,Atotonilquillo, Jalisco,Jalisco,,,20.290624,-103.1947859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      11 YAGO,Calle,5 de Mayo ,S/N,,,Col.  ,63568,Santiago, Nayarit,Nayarit,,,21.8131863,-105.204327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH     13 SAN MIGUEL,Calle,5 de Mayo ,S/N,,,Col. Centro ,81340,San Miguel Zapotitlán , Sinaloa,Sinaloa,,,25.9145132,-109.1696755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH     33 VILLA RAFAEL LARA GRAJALES,Calle,5 Poniente ,1,,,,75000,Rafael Lara Grajales, Puebla,Puebla,,,19.2248278,-97.8046578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  12  CACAHOATAN,Calle,6a. Calle Oriente ,207a,,,Col. Centro ,30890,Cacahoatán, Chiapas,Chiapas,,,14.9955409,-92.1672592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  33  PIJIJIAPAN,Calle,6a. Poniente,S/N,,,Col. Centro ,30540,Pijijiapan, Chiapas,Chiapas,,,16.7510439,-93.130085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       2 PUEBLA,Calle,9 Oriente,S/N,,,Col. Centro ,72000,Puebla, Puebla,Puebla,,,19.0570681,-98.30556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      71 MORELIA,Calle,A. Volta ,S/N,,,Col. Electricistas ,,Morelia,Michoacán,Michoacán,,,19.6844604,-101.1784494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF 19 HUIXTLA,Calle,Abasolo,S/N,,,Col. Centro ,30640,Huixtla, Chiapas,Chiapas,,,15.1433965,-92.4587562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      14 COMPOSTELA,Calle,Abasolo,S/N,,,Col.  ,63700,Compostela, Nayarit,Nayarit,,,21.2379255,-104.9007613,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH  24 C.JIMENEZ,Calle,Abraham González,403,,,Col Centro,,,,Chihuahua,,,19.240953,-103.697181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 74  NADADORES,Calle,Acuña,S/N,,,Col. Centro ,27550,Nadadores, Coahuila,Coahuila,,,27.0253414,-101.5922319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      25 E. GONZALEZ,Calle,Adolfo López Mateos ,304 Ote. ,,,Col.  ,89700,González, Tamaulipas,Tamaulipas,,,26.06133,-98.3000199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  30   JONUTA,Calle,Agrarista ,S/N,,,Col. Centro ,86780,Jonuta , Tabasco,Tabasco,,,18.0902778,-92.1366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      60 NAVOJOA,Calle,Agustín Melgar ,S/N,,,Col. Sonora ,85800,Navojoa, Sonora,Sonora,,,27.0695683,-109.4729179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  8   AGUASCALIENTES,Calle,Alameda ,702,,,Col. Del Trabajo ,20180,Aguascalientes, Aguascalientes,Aguascalientes,,,21.8978919,-102.2719399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 65   STA LUCIA DEL CAMI,Calle,Álamos ,S/N,,,Col. Las Flores ,,Santa Lucia del Camino,Oaxaca,Oaxaca,,,17.050792,-96.6912846,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       2 HERMOSILLO,Calle,Alberto Gutiérrez ,S/N,,,Col. Balderrama ,83180,,,Sonora,,,29.1022793,-110.9834613,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  15 APAN,Calle,Aldama,S/N,,,Col. Centro ,43900,Apan, Hidalgo,Hidalgo,,,19.7080609,-98.4471759,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  18 TIZAYUCA,Calle,Aldama,S/N,,,Col. Centro ,43800,Tizayuca, Hidalgo,Hidalgo,,,19.845328,-98.978928,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      17 XICOTEPEC DE JU?ÄREZ,Calle,Aldama ,S/N,,,,73080,Xicotepec de Juárez, Puebla,Puebla,,,20.2706725,-97.9600942,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      67 STA.CLARA,Calle,Alfareros ,"637,",,,Col. Santa Clara,,,, Edo. México Oriente,,,37.3541079,-121.9552356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  30 S.FELIPE,Calle,Allende,S/N,,,Col. Centro ,37600,San Felipe, Guanajuato,Guanajuato,,,21.4773989,-101.2039827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  35 PUEBLO NUEVO,Calle,Allende,S/N,,,Col. Centro ,36890,Pueblo Nuevo, Guanajuato,Guanajuato,,,21.131677,-101.6834433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      58 JALAPA,Calle,Allende,S/N,,,Col. Centro ,91000,Xalapa Norte, Veracruz Norte, Veracruz Norte,,,19.5636729,-96.8988761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 15  VILLA UNION,Calle,Allende ,S/N,,,Col. Zona Centro ,26600,Villa Unión, Coahuila,Coahuila,,,25.5521854,-103.3673731,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  26  ESCUINTLA,Calle,Allende ,S/N,,,Col. Centro ,30600,Escuintla, Chiapas,Chiapas,,,16.7732102,-93.0969003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  94 YAHUALICA,Calle,Allende ,97,,,Col. Centro ,47300,Yahualica, Jalisco,Jalisco,,,21.1779451,-102.8843519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       6 PUENTE IXTLA,Calle,Allende ,S/N,,,Col. San Mateo,,,,Morelos,,,19.2709866,-99.0024132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      21 JANTETELCO,Calle,Allende ,S/N,,,,,,,Morelos,,,-24.8077842,-65.3743355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      68 VERACRUZ,Calle,Allende ,S/N,,,Col. Centro ,91700,Veracruz Norte, Veracruz Norte, Veracruz Norte,,,18.152705,-94.4034211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     40 NOPALTEPEC,Calle,Allende ,9,,,Col.  ,95420,Nopaltepec Sur, Veracruz Sur, Veracruz Sur,,,18.3667399,-95.7973189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  85 ROMA,Calle,Alvarez,S/N,,,Col. Roma ,25760,Villafrontera, Coahuila,Coahuila,,,25.5527068,-103.4186519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     73 VILLAGRAN HGO.,Calle,Álvaro Obregón,S/N,,,Col.  ,87880,Villagrán, Tamaulipas,Tamaulipas,,,26.1034174,-98.2890003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       43 TRES VALLES,Calle,Álvaro Obregón,S/N,,,Col.  ,95300,Cosamaloapan Sur, Veracruz Sur, Veracruz Sur,,,18.2389042,-96.1344867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  44 ARANDAS,Calle,Álvaro Obregón ,405,,,,47180,Arandas Jalisco,,Jalisco,,,20.705519,-102.346916,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       8 CABORCA,Calle,Álvaro Obregón ,S/N,,,Col.  ,83600,Caborca, Sonora,Sonora,,,30.7231769,-112.1403551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  33 PICARDIAS,Calle,Amado Nervo,S/N,,,,35189,Lerdo, Durango,Durango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      23 SAN  RAFAEL,Calle,Amado Nervo,25,,,,93620,SanRafael Norte, Veracruz Norte, Veracruz Norte,,,20.1905338,-96.8692578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  16  COLIMA,Andador,Andador Francisco J. Mújica ,1001,,,Col. Infonavit ,28040,Colima, Colima,Colima,,,19.245226,-103.733455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH   19 TUXPAN,Calle,Anselmo Villalobos,S/N,,,Col. Centro ,49800,Tuxpan, Jalisco,Jalisco,,,19.5538889,-103.3755556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   76 XALOSTOC,Calle,Ant. Carr. A Pachuca,S/N,,,,,,, Edo. México Oriente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    49 SAN LUIS POTOSI,Calle,Antiguo camino a Españita ,S/N,,,Col. San Leonel ,78387,San Luis Potosí, San Luis Potosí,San Luis Potosí,,,22.1260064,-100.9619376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      10 JALPA,Calle,Antonio Cervantes ,No.1402 ,,,Col.  ,99600,Jalpa, Zacatecas, Zacatecas,,,21.6447716,-102.9770899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 160 CAPILLA GPE.,Calle,Antonio de Aceves ,321,,,Col. Centro ,47700,Capilla de Guadalupe, Jalisco,Jalisco,,,20.8081898,-102.7718341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      57 COLON,Calle,Aquiles Serdán ,30,,,Col.  ,76270,Colón, Querétaro,Querétaro,,,20.788744,-100.0496089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      65 VILLA MADERO,Calle,Araucaria ,No.40 ,,,Col. Infonavit,,Villa Madero,Michoacán,Michoacán,,,16.7579263,-93.1369253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     47  VILLAHERMOSA,Calle,Arco poniente del periférico,S/N,,,Col. Casa Blanca ,86060,Villahermosa,Tabasco,Tabasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       226 IXTLAHUACA,Calle,Armadora Nash ,38,,,Col. Vista Hermosa ,52480,Tlalnepantla, Edo. de Méx. Poniente, Edo. México Poniente,,,18.96649,-99.41378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      32 V.GUADALUPE,Calle,Arteaga,S/N,,,Col. Paraíso ,67140,Guadalupe, Nuevo León,Nuevo León,,,25.6841393,-100.2510284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  84 MONCLOVA,Calle,Augusto Spes,S/N,,,Col. Obrera Sur Tercer Sector ,25790,Monclova, Coahuila,Coahuila,,,26.8453158,-101.4268174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF 28 CASIMIRO CAST,Calle,Autlán  ,5,,,Col. Centro ,48930,Casimiro Castillo, Jalisco,Jalisco,,,19.603698,-104.4391911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      1  ZACATECAS,Avenida,Av.  Universidad ,102,,,,98000,Zacatecas,, Zacatecas,,,22.7645964,-102.5558989,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      15 CUICHAPA,Avenida,Av. 1 ,S/N,,,Col.  ,94920,Cuichapa Sur, Veracruz Sur, Veracruz Sur,,,17.9378848,-94.2779314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF   2 COZUMEL,Avenida,Av. 11 Sur ,600,,,Col. Centro,77600,Cozumel, Quintana Roo,Quintana Roo,,,20.4939638,-86.9431616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      39 C/UMAA/REHAB,Avenida,Av. 12 de Marzo ,"800,",,,Col. Hacienda del Puente,,H. Matamoros,Tamaulipas,Tamaulipas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  45  PALENQUE,Avenida,Av. 12 de Octubre,S/N,,,Col. Centro ,29996,Palenque, Chiapas,Chiapas,,,-34.7391472,-58.2827187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     21 E. VICENTE,Avenida,Av. 15 de Julio,S/N,,,Col.  ,95600,Acatlán de Pérez Figueroa Sur, Veracruz Sur, Veracruz Sur,,,17.8246474,-95.8149476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       6 PUEBLA,Avenida,Av. 15 de Mayo ,S/N,,,Col. San Pedro ,72026,Puebla, Puebla,Puebla,,,19.0806739,-98.2295613,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF  16 C. CUAUHTEMOC,Avenida,Av. 16 de Septiembre ,S/N,,,Col. Progreso,,,,Chihuahua,,,17.0664871,-96.7022055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      62 CUAUTITLAN,Avenida,Av. 16 de Septiembre ,"39,",,,Col. Guadalupe,,,, Edo. México Oriente,,,19.2829282,-99.1400507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
